month,department,account,account_type,budget,actual
2024-01,Sales,Revenue,revenue,1600000.0,1649064.0
2024-02,Sales,Revenue,revenue,1600000.0,1573761.0
2024-03,Sales,Revenue,revenue,1800000.0,1883278.0
2024-04,Sales,Revenue,revenue,1900000.0,1772548.0
2024-05,Sales,Revenue,revenue,1900000.0,1808256.0
2024-06,Sales,Revenue,revenue,2000000.0,1948847.0
2024-07,Sales,Revenue,revenue,1900000.0,1946501.0
2024-08,Sales,Revenue,revenue,1900000.0,1916970.0
2024-09,Sales,Revenue,revenue,2100000.0,2140765.0
2024-10,Sales,Revenue,revenue,2200000.0,2178316.0
2024-11,Sales,Revenue,revenue,2400000.0,2521869.0
2024-12,Sales,Revenue,revenue,2700000.0,2827501.0
2025-01,Sales,Revenue,revenue,1792000.0,1831981.0
2025-02,Sales,Revenue,revenue,1792000.0,1898541.0
2025-03,Sales,Revenue,revenue,2016000.0,2089307.0
2025-04,Sales,Revenue,revenue,2128000.0,2106560.0
2025-05,Sales,Revenue,revenue,2128000.0,2198025.0
2025-06,Sales,Revenue,revenue,2240000.0,2209624.0
2025-07,Sales,Revenue,revenue,2128000.0,2235987.0
2025-08,Sales,Revenue,revenue,2128000.0,2166842.0
2025-09,Sales,Revenue,revenue,2352000.0,2383822.0
2025-10,Sales,Revenue,revenue,2464000.0,2454557.0
2025-11,Sales,Revenue,revenue,2688000.0,2856777.0
2025-12,Sales,Revenue,revenue,3024000.0,3068125.0
2024-01,Sales,Salaries & Benefits,expense,300000.0,296788.0
2024-02,Sales,Salaries & Benefits,expense,300000.0,297359.0
2024-03,Sales,Salaries & Benefits,expense,300000.0,303992.0
2024-04,Sales,Salaries & Benefits,expense,300000.0,302741.0
2024-05,Sales,Salaries & Benefits,expense,300000.0,303095.0
2024-06,Sales,Salaries & Benefits,expense,300000.0,303231.0
2024-07,Sales,Salaries & Benefits,expense,300000.0,316062.0
2024-08,Sales,Salaries & Benefits,expense,300000.0,296952.0
2024-09,Sales,Salaries & Benefits,expense,300000.0,296158.0
2024-10,Sales,Salaries & Benefits,expense,300000.0,293897.0
2024-11,Sales,Salaries & Benefits,expense,300000.0,304620.0
2024-12,Sales,Salaries & Benefits,expense,300000.0,308467.0
2025-01,Sales,Salaries & Benefits,expense,336000.0,335043.0
2025-02,Sales,Salaries & Benefits,expense,336000.0,328943.0
2025-03,Sales,Salaries & Benefits,expense,336000.0,329074.0
2025-04,Sales,Salaries & Benefits,expense,336000.0,341465.0
2025-05,Sales,Salaries & Benefits,expense,336000.0,342243.0
2025-06,Sales,Salaries & Benefits,expense,336000.0,340562.0
2025-07,Sales,Salaries & Benefits,expense,336000.0,330410.0
2025-08,Sales,Salaries & Benefits,expense,336000.0,337950.0
2025-09,Sales,Salaries & Benefits,expense,336000.0,336980.0
2025-10,Sales,Salaries & Benefits,expense,336000.0,337837.0
2025-11,Sales,Salaries & Benefits,expense,336000.0,343320.0
2025-12,Sales,Salaries & Benefits,expense,336000.0,337878.0
2024-01,Sales,Commissions,expense,96667.0,103487.0
2024-02,Sales,Commissions,expense,96667.0,100827.0
2024-03,Sales,Commissions,expense,108750.0,114515.0
2024-04,Sales,Commissions,expense,114792.0,122644.0
2024-05,Sales,Commissions,expense,114792.0,111856.0
2024-06,Sales,Commissions,expense,120833.0,123928.0
2024-07,Sales,Commissions,expense,114792.0,116954.0
2024-08,Sales,Commissions,expense,114792.0,116083.0
2024-09,Sales,Commissions,expense,126875.0,130379.0
2024-10,Sales,Commissions,expense,132917.0,147175.0
2024-11,Sales,Commissions,expense,145000.0,145150.0
2024-12,Sales,Commissions,expense,163125.0,176758.0
2025-01,Sales,Commissions,expense,108267.0,104398.0
2025-02,Sales,Commissions,expense,108267.0,110966.0
2025-03,Sales,Commissions,expense,121800.0,127564.0
2025-04,Sales,Commissions,expense,128567.0,137101.0
2025-05,Sales,Commissions,expense,128567.0,137824.0
2025-06,Sales,Commissions,expense,135333.0,145578.0
2025-07,Sales,Commissions,expense,128567.0,131692.0
2025-08,Sales,Commissions,expense,128567.0,131034.0
2025-09,Sales,Commissions,expense,142100.0,153270.0
2025-10,Sales,Commissions,expense,148867.0,153540.0
2025-11,Sales,Commissions,expense,162400.0,159573.0
2025-12,Sales,Commissions,expense,182700.0,180691.0
2024-01,Sales,Travel & Entertainment,expense,21000.0,20131.0
2024-02,Sales,Travel & Entertainment,expense,31500.0,32205.0
2024-03,Sales,Travel & Entertainment,expense,38500.0,38747.0
2024-04,Sales,Travel & Entertainment,expense,40250.0,41501.0
2024-05,Sales,Travel & Entertainment,expense,40250.0,39476.0
2024-06,Sales,Travel & Entertainment,expense,38500.0,38775.0
2024-07,Sales,Travel & Entertainment,expense,33250.0,34186.0
2024-08,Sales,Travel & Entertainment,expense,31500.0,31062.0
2024-09,Sales,Travel & Entertainment,expense,42000.0,45383.0
2024-10,Sales,Travel & Entertainment,expense,42000.0,43269.0
2024-11,Sales,Travel & Entertainment,expense,36750.0,36150.0
2024-12,Sales,Travel & Entertainment,expense,24500.0,24079.0
2025-01,Sales,Travel & Entertainment,expense,23520.0,22254.0
2025-02,Sales,Travel & Entertainment,expense,35280.0,36053.0
2025-03,Sales,Travel & Entertainment,expense,43120.0,42209.0
2025-04,Sales,Travel & Entertainment,expense,45080.0,45105.0
2025-05,Sales,Travel & Entertainment,expense,45080.0,46055.0
2025-06,Sales,Travel & Entertainment,expense,43120.0,43986.0
2025-07,Sales,Travel & Entertainment,expense,37240.0,38355.0
2025-08,Sales,Travel & Entertainment,expense,35280.0,35124.0
2025-09,Sales,Travel & Entertainment,expense,47040.0,48966.0
2025-10,Sales,Travel & Entertainment,expense,47040.0,49694.0
2025-11,Sales,Travel & Entertainment,expense,41160.0,38035.0
2025-12,Sales,Travel & Entertainment,expense,27440.0,25653.0
2024-01,Sales,Software & Subscriptions,expense,20000.0,18810.0
2024-02,Sales,Software & Subscriptions,expense,20000.0,19102.0
2024-03,Sales,Software & Subscriptions,expense,20000.0,20360.0
2024-04,Sales,Software & Subscriptions,expense,20000.0,19185.0
2024-05,Sales,Software & Subscriptions,expense,20000.0,19660.0
2024-06,Sales,Software & Subscriptions,expense,20000.0,21169.0
2024-07,Sales,Software & Subscriptions,expense,20000.0,19679.0
2024-08,Sales,Software & Subscriptions,expense,20000.0,20664.0
2024-09,Sales,Software & Subscriptions,expense,20000.0,19160.0
2024-10,Sales,Software & Subscriptions,expense,20000.0,19815.0
2024-11,Sales,Software & Subscriptions,expense,20000.0,19145.0
2024-12,Sales,Software & Subscriptions,expense,20000.0,19695.0
2025-01,Sales,Software & Subscriptions,expense,22400.0,23247.0
2025-02,Sales,Software & Subscriptions,expense,22400.0,20659.0
2025-03,Sales,Software & Subscriptions,expense,22400.0,22838.0
2025-04,Sales,Software & Subscriptions,expense,22400.0,22640.0
2025-05,Sales,Software & Subscriptions,expense,22400.0,21801.0
2025-06,Sales,Software & Subscriptions,expense,22400.0,20942.0
2025-07,Sales,Software & Subscriptions,expense,22400.0,22473.0
2025-08,Sales,Software & Subscriptions,expense,22400.0,21866.0
2025-09,Sales,Software & Subscriptions,expense,22400.0,22635.0
2025-10,Sales,Software & Subscriptions,expense,22400.0,22422.0
2025-11,Sales,Software & Subscriptions,expense,22400.0,24015.0
2025-12,Sales,Software & Subscriptions,expense,22400.0,22159.0
2024-01,Marketing,Salaries & Benefits,expense,150000.0,146162.0
2024-02,Marketing,Salaries & Benefits,expense,150000.0,150672.0
2024-03,Marketing,Salaries & Benefits,expense,150000.0,150825.0
2024-04,Marketing,Salaries & Benefits,expense,150000.0,155097.0
2024-05,Marketing,Salaries & Benefits,expense,150000.0,153132.0
2024-06,Marketing,Salaries & Benefits,expense,150000.0,151338.0
2024-07,Marketing,Salaries & Benefits,expense,150000.0,155487.0
2024-08,Marketing,Salaries & Benefits,expense,150000.0,145542.0
2024-09,Marketing,Salaries & Benefits,expense,150000.0,147601.0
2024-10,Marketing,Salaries & Benefits,expense,150000.0,146525.0
2024-11,Marketing,Salaries & Benefits,expense,150000.0,148538.0
2024-12,Marketing,Salaries & Benefits,expense,150000.0,144837.0
2025-01,Marketing,Salaries & Benefits,expense,165000.0,167620.0
2025-02,Marketing,Salaries & Benefits,expense,165000.0,164083.0
2025-03,Marketing,Salaries & Benefits,expense,165000.0,158933.0
2025-04,Marketing,Salaries & Benefits,expense,165000.0,160811.0
2025-05,Marketing,Salaries & Benefits,expense,165000.0,166293.0
2025-06,Marketing,Salaries & Benefits,expense,165000.0,168457.0
2025-07,Marketing,Salaries & Benefits,expense,165000.0,173237.0
2025-08,Marketing,Salaries & Benefits,expense,165000.0,177020.0
2025-09,Marketing,Salaries & Benefits,expense,165000.0,166709.0
2025-10,Marketing,Salaries & Benefits,expense,165000.0,160918.0
2025-11,Marketing,Salaries & Benefits,expense,165000.0,156205.0
2025-12,Marketing,Salaries & Benefits,expense,165000.0,166104.0
2024-01,Marketing,Advertising & Media,expense,156098.0,162875.0
2024-02,Marketing,Advertising & Media,expense,156098.0,165668.0
2024-03,Marketing,Advertising & Media,expense,175610.0,184821.0
2024-04,Marketing,Advertising & Media,expense,175610.0,188546.0
2024-05,Marketing,Advertising & Media,expense,185366.0,209087.0
2024-06,Marketing,Advertising & Media,expense,214634.0,233322.0
